Equipment Fault Number & Desc,Equipment Short Name,Count of Faults,Duration
539 - DP AT LEAST 1 SHT HOIST ARM DIDNT RTRCT (539),DEPALLETIZER,83,457.3166667
608 - AL2-PACK ELEVATOR OVER LOAD FAULT (608),ALF LID DEPAL,83,723.15
1715 - MP AXIS 3 TORQUE OVERLOAD FAULT (1715),Maxim Packer,82,60.35
629 - AL2-MAIN LIFT OVERTRAVEL FAULT (629),ALF LID DEPAL,80,273.8333333
704 - FY SAMPLING TABLE FULL (704),FILLER CONV,79,86.71666667
2 - PL1-CS-PD DISPENSER E-STOP PUSHED ALARM (2),PALLETIZER 1,78,940.1
631 - AL2-MAIN LIFT PALLET JAM ON CONVEYOR FLT (631),ALF LID DEPAL,78,15973.58333
498 - FC1-VSD10F-19 FAULTED (498),FULL CAN 1,76,170.6333333
466 - EC TT10E-4 CONVEYOR FAULTED (466),EMPTY CAN,75,1726.933333
645 - BP SV10L-30505 FL CIP BLD VLV NOT CLOSED(645),BEER PIPE,74,15319.75
"584 - PL1-E-14A, REAR HOIST AREA BLOCKED (584)",PALLETIZER 1,73,113.5166667
589 - AL1-DEBAGGER BAG TRANSFER #1 CONV JAM (589),ALF CONVEYOR,73,162.0166667
96 - EC TT10E-4 NOT IN AUTO AT EEP10E1 (96),EMPTY CAN,73,13756.26667
572 - FL HIGH BOWL TEMP - PERFORM WB DUMP (572),FILLER,72,609.8
586 - AL OFF/AUTO SWITCH REMOTE PENDANT OFF (586),ALF DEBAGGER,72,4484.483333
416 - CJ L-SHAPED CARTON FAULT (416),12/12 Packer,71,114.3666667
9 - DB1-E-STOP PRESSED AT CST10DB21A (9),DELIVERY BELT 1,71,4395.266667
37 - CL DOOR SW #9 HARD WIRED/STATUS CONFLICT (37),SEAMER,70,382.5333333
586 - MP MISSING LOADER CAM FOLLOWER (586),Maxim Packer,69,110.85
789 - EC VIDEO JET CODER B NOT READY (789),EMPTY CAN,69,7830.983333
419 - PL2-E-2J BLOCKED TOO LONG ALARM (419),PALLETIZER 2,68,82.88333333
606 - MP LOW SLIP SHEET SUPPLY FAULT (606),Maxim Packer,68,90.53333333
622 - MP DOWN CAN AT UPPER TIER STAR #6 (622),Maxim Packer,68,134.7666667
666 - DP TO PV DOOR 8 OPEN (666),DEPALLETIZER,68,275.6
793 - EC VIDEO JET CODER A ENCODER/DET FAULT (793),EMPTY CAN,68,46.31666667
102 - DC2-T-CAR NOT IN AUTO MODE (102),WOOD OUT,67,448.2
482 - FY MOTOR TT10Y-1A FAULTED (482),FILLER CONV,67,13915.25
421 - PL2-E-Z2S BLOCKED TOO LONG ALARM (421),PALLETIZER 2,66,136.1
464 - EC TT10E-6 CONVEYOR FAULTED (464),EMPTY CAN,66,36.03333333
549 - DP FRAME REMOVER DID NOT GET FRAME (549),DEPALLETIZER,66,73.13333333
572 - AL END HOLDUP PIVOT CYLINDER MOTION (572),ALF DEBAGGER,66,444.7
481 - PL1-LEFT ROLLER 2 DRIVE FAULT (481),PALLETIZER 1,64,608.6166667
561 - PS LOAD CELL WEST LWR DECK LOW LOAD FLT (561),PASTEURIZER,64,546.5666667
592 - MP UPR TIER FALLEN CAN STOP MACHINE (592),Maxim Packer,64,104.7
518 - DP SHEET REMOVER DROPPED SHEET (518),DEPALLETIZER,63,244.7666667
20 - PL2-E-9A SAFETY EYE IS BLOCKED (20),PALLETIZER 2,61,691.0333333
421 - CN LOADER FAULT (421),2/12 Packer,60,2102.55
529 - DP SHEET REMOVER NOT UP (529),DEPALLETIZER,60,206.7166667
1 - SW1-REMOTE-E-STOP PRESSED (1),STRETCH WRAP 1,59,1342.366667
3 - MP EMERGENCY STOP AT DISCHARGE (3),Maxim Packer,59,611.05
613 - MP DOWN CAN AT LOWER TIER STAR #3 (613),Maxim Packer,59,194.2166667
425 - CJ FLAPSTAR FAULT (425),12/12 Packer,58,278.3
434 - DB1-REJECT DVTR DB-06 BLOCK/NO AIR PRESS.(434),DELIVERY BELT 1,58,2032.783333
612 - PS *ZONE 5 LOW TEMP FAULT (612),PASTEURIZER,57,99.21666667
662 - MP PHS-JAM ON STACKER CONVEYOR (662),Maxim Packer,57,317.9333333
21 - PL2-E-9B SAFETY EYE IS BLOCKED (21),PALLETIZER 2,55,75.15
480 - FC1-VSD10F-1 FAULTED (480),FULL CAN 1,55,1819.95
643 - BP SV10L-30504 FL CIP BLCK VLV NOT CLOSE(643),BEER PIPE,55,9692.6
496 - DB2-MOTOR MS-49 FAILED TO RUN (496),DELIVERY BELT 2,54,159.45
560 - RS WEST(RIGHT) AIR CONV COMBINER JAM (560),RINSER,54,20.3
616 - MP DOWN CAN AT LOWER TIER STAR #6 (616),Maxim Packer,54,90.81666667
7 - PS PAST STOPPED AT FILLER REDIPANEL (7),PASTEURIZER,54,70.36666667
106 - DB2-MT10DB-43 NOT IN AUTO AT CST10DB43 (106),DELIVERY BELT 2,50,2586.783333
11 - DB1-E-STOP PRESSED AT CST10DB27A (11),DELIVERY BELT 1,50,2189.45
587 - AL INFEED PUSHER NOT HOME IN AUTO (587),ALF DEBAGGER,50,177.2166667
570 - DC2-T-CAR JAM DURING PICK AT RECEIVING (570),WOOD OUT,49,215.05
588 - AL1-DEBAGGER BAG TRANSFER #2 CONV JAM (588),ALF CONVEYOR,49,204.2
7 - DC2-E-STOP PUSHED AT REDI-PANEL (7),WOOD OUT,49,7585.066667
32 - CN DRYING CONVEYOR GUARD OPEN (32),2/12 Packer,48,128.8833333
561 - MP SAFE MODE SELECT AT OPERATOR STATION (561),Maxim Packer,48,218.6666667
639 - AL2-REVERSED PALLET DETECTED (639),ALF LID DEPAL,48,116.4333333
752 - MP JOG MODE SELECT AT OPERATOR STATION (752),Maxim Packer,48,418.85
121 - MP FALLEN CAN UPPER TIER LANE 4 (121),Maxim Packer,47,58.48333333
484 - MP DAWSON UPR TIER INFD CONV DRV FLT (484),Maxim Packer,47,144.6
592 - AL1-LID DEPALL TO TRANSFER CONV JAM (592),ALF CONVEYOR,47,247.25
615 - MP DOWN CAN AT LOWER TIER STAR #5 (615),Maxim Packer,47,85.68333333
540 - DP SHEET HOIST JAMMED (540),DEPALLETIZER,46,484.8
561 - RS EAST(LEFT) AIR CONV COMBINER JAM (561),RINSER,46,21.96666667
635 - MP L10 BALER HYDRAULIC FAULT (635),Maxim Packer,46,354.5
65 - DP DUNNAGE HOISTS NOT IN AUTO (65),DEPALLETIZER,46,353.4333333
564 - DB2-DIVERTER 44/49 PERIMETER PE FAULT (564),DELIVERY BELT 2,45,583.1833333
564 - EC CONTROL POWER OFF AT EEP10E1 ALARM (564),EMPTY CAN,45,8478.433333
572 - PL2-FAULT @ DISCHARGE CONVEYOR (572),PALLETIZER 2,45,2112.116667
612 - MP DOWN CAN AT LOWER TIER STAR #2 (612),Maxim Packer,45,118.7833333
96 - FC2 TT10F-25 NOT IN AUTO EEP10F2 (96),FULL CAN 2,45,10240.66667
0 - FC2 E-STOP PRESSED AT EEP10F2 (0),FULL CAN 2,44,9106.15
1 - SW2-REMOTE E-STOP PRESSED (1),STRETCH WRAP 2,43,3549.483333
550 - DP FRAME REMOVER DROPPED FRAME (550),DEPALLETIZER,43,8.35
49 - MP GUARD DOOR 13 OPEN (49),Maxim Packer,42,33.88333333
0 - MP EMERGENCY STOP AT OPERATOR STATION (0),Maxim Packer,41,160.7166667
671 - DP TO PV BAND CHOPPER IS NOT RUNNING (671),DEPALLETIZER,41,78.4
662 - CL SEAMER DRIVE FAULT COND. PNLVW ALM (662),SEAMER,40,476.4
567 - RS EAST (LEFT) LN TWIST COMBINER JAM (567),RINSER,39,14.4
646 - BP SV10L-30506 FL CIP DRN VLV NOT OPEN (646),BEER PIPE,39,4893.533333
434 - DP INFEED CONV #6 DWNSTRM PE BLKD PASS (434),DEPALLETIZER,38,245.8
575 - MP 1ST GLUE PHOTOEYE FAILURE (575),Maxim Packer,38,75.75
759 - DB1-CASE COUNT EYES NO SIGNAL FAULT (759),DELIVERY BELT 1,38,149.6166667
419 - DP INFEED CONV #4 JAM MOVING LOAD (419),DEPALLETIZER,37,113.6666667
0 - DC2-E-STOP PUSHED AT AREA PANEL DOOR (0),WOOD OUT,36,9397.4
419 - DB1-SDN #1 CHANNEL A COMMUNICATIONS FAIL (419),DELIVERY BELT 1,36,11320.03333
483 - DP SHEET CARRIAGE DRIVE FAULT (483),DEPALLETIZER,36,141.6
0 - DB2-E-STOP PRESSED AT EEP10DB2 (0),DELIVERY BELT 2,35,8913.233333
422 - CN CARTON FEED OVERLOAD FAULT (422),2/12 Packer,35,120.3666667
621 - MP DOWN CAN AT UPPER TIER STAR #5 (621),Maxim Packer,35,295.3833333
0 - DB1-E-STOP PRESSED AT EEP10DB1 (0),DELIVERY BELT 1,34,11871.11667
2 - PL2-CS-PD DISPENSER E-STOP PUSHED ALARM (2),PALLETIZER 2,34,1095.45
641 - MP BALER CHECK INLET CHUTE CHAMBER EE2 (641),Maxim Packer,34,369.1666667
1717 - MP AXIS 5 TORQUE OVERLOAD FAULT (1717),Maxim Packer,33,48.91666667
610 - BP PH VALUE HIGH LIMIT FAULT (610),BEER PIPE,33,518.9666667
688 - CL N2 SYSTEM HIGH O2 FAULT (688),SEAMER,33,58.55
